Child,Parent,Note
literary theme,,
science fictional theme,literary theme,
science fictional technology,science fictional theme,
artificial intelligence,science fictional technology,
AI safeguards,artificial intelligence,
android,artificial intelligence,
sex-droid,android,
archailect,artificial intelligence,
cyborg,artificial intelligence,
robot,artificial intelligence,
robot helper,robot,
mechanical man,robot,
replicant,artificial intelligence,
virtual person,artificial intelligence,simulated personality
virtual lover,virtual person,
ancient artificial custodian,virtual person,
digital clone,virtual person,
sentient machine,artificial intelligence,
sentient bomb,sentient machine,
sentient space probe,sentient machine,
sentient computer,sentient machine,
sentient nanomachines,sentient machine,
autonomous sentient coworker,sentient machine,
autonomous sentient tool,sentient machine,
autonomous system,artificial intelligence,
autonomous weapons system,autonomous system,
collective intelligence,artificial intelligence,
computer simulated war,artificial intelligence,delete
emergent intelligence,artificial intelligence,
biological technology,science fictional technology,
biological machinery,biological technology,
biological computer,biological technology,
bioengineered pathogen,biological technology,bioengineered human pathogen
biological spaceship,biological technology,
nanotechnology,science fictional technology,
self-replicating nano-machine,nanotechnology,
brain-computer interface,science fictional technology,
brain implant,brain-computer interface,
brain stimulating implant,brain implant,
cranial aggression implant,brain implant,
plug-in learning,brain-computer interface,
spacetime changing technology,science fictional technology,
time machine,spacetime changing technology,
space folding technology,spacetime changing technology,space folding travel technology
device bigger inside than outside,spacetime changing technology,
time freezing machine,spacetime changing technology,
history altering technology,spacetime changing technology,
gravitation technology,science fictional technology,
anti-gravity technology,gravitation technology,
artificial gravity technology,gravitation technology,
vehicle,science fictional technology,
self-driving car,vehicle,
flying car,vehicle,
flying boat,vehicle,
subterrene,vehicle,
submarine,vehicle,
airliner,vehicle,
airship,vehicle,
mobile life support box,vehicle,
time machine,vehicle,
mind-controlled vehicle,vehicle,
jet pack,vehicle,
spaceship,vehicle,
Bussard ramjet,spaceship,
modular spaceship,spaceship,
multi-generational spaceship,spaceship,
solar sail spaceship,spaceship,
invisible spaceship,spaceship,
unmanned spaceship,spaceship,
ion drive spaceship,spaceship,
intangible spaceship,spaceship,
flying saucer,spaceship,
sleeper spaceship,spaceship,
rocket ship,spaceship,
multistage rocket ship,rocket ship,
simulated reality,science fictional technology,
virtual reality choose your own adventure,simulated reality,
virtual reality room,simulated reality,
virtual reality sex,simulated reality,
virtual reality suit,simulated reality,
matter manipulation technology,science fictional technology,
matter duplicator,matter manipulation technology,
matter replicator,matter manipulation technology,
matter transmuter,matter manipulation technology,
food synthesizer,matter manipulation technology,
give-you-anything scanner,matter manipulation technology,
planetary engineering,planetary weather control system,
weapon,science fictional technology,
autonomous weapons system,weapon,
sentient bomb,weapon,
death ray,weapon,
kill button,weapon,
killer microdrone,weapon,
immobilization web,weapon,
paralysis field,weapon,
smart ammunition,weapon,
human implanted suicide weapon,weapon,
sonic gun,weapon,
surface-to-air missile,weapon,
sun gun,weapon,
handheld multifunction super gun,weapon,
invisibility technology,science fictional technology,
invisible spaceship,invisibility technology,
personal invisibility cloak,invisibility technology,
planetary invisibility cloak,invisibility technology,
handheld device,science fictional technology,
handheld lab,handheld device,
handheld multifunction super gun,handheld device,
sonic razor,handheld device,
super spy pen,handheld device,
handheld organ extractor,handheld device,
pain stick,handheld device,
metal detector,handheld device,
wearable device,science fictional technology,
everlasting fabric,wearable device,
wearable torture device,wearable device,
pain belt,wearable torture device,
pain buzzer,wearable torture device,
pain collar,wearable torture device,
intangibility device,wearable device,
jet pack,wearable device,
life force draining headband,wearable device,
life-support belt,wearable device,
suit,wearable torture device,
diving suit,suit,
spacesuit,suit,
powered exoskeleton,suit,
virtual reality suit,suit,
personal invisibility cloak,wearable device,
face patch,wearable device,
perfect prosthetics,wearable device,
secret toenail compartment,wearable device,
ankle bracelet,wearable device,
magnetic boots,wearable device,
super glasses,wearable device,
vision beyond the visible spectrum,super glasses,
sonar-based artificial vision,super glasses,
X-ray vision,super glasses,
booth-like device,science fictional technology,
baby incubator pod,booth-like device,
disintegration chamber,booth-like device,
teleportation device,booth-like device,
take-you-anywhere gateway,booth-like device,
sonic shower,booth-like device,
engineering,science fictional technology,
large-scale engineering project,engineering,
artificial island,large-scale engineering project,
asteroid deflector,large-scale engineering project,
artificial city,large-scale engineering project,
domed city,artificial city,
floating city,artificial city,
underwater city,artificial city,
arcology,artificial city,
mining a planet from orbit,large-scale engineering project,
space elevator,large-scale engineering project,
